parameter,runs,min_objective,max_objective,min_cfe_ext,max_cfe_ext,min_jmas_ext,max_jmas_ext,min_profile3_commute,max_profile3_commute,min_dynamic_border_time,max_dynamic_border_time,max_assignment_changes,max_selected_plot_set_changes,stable_runs,allocation_stability
alpha,7,1859373.5315934133,1874718.8967083246,25575.60852485186,25575.60852485186,25872.12894960291,25872.12894960291,2.97640273324014,2.97640273324014,34.43140666666666,34.43140666666666,0,0,7,1.0
beta,7,1859284.575465988,1874807.8528357497,25575.60852485186,25575.60852485186,25872.12894960291,25872.12894960291,2.97640273324014,2.97640273324014,34.43140666666666,34.43140666666666,0,0,7,1.0
delta_worker_commute,7,1855884.7039012183,1878207.724400519,25575.60852485186,25575.60852485186,25872.12894960291,25872.12894960291,2.97640273324014,2.97640273324014,34.43140666666666,34.43140666666666,0,0,7,1.0
gamma,7,1864824.4820408688,1869267.9462608688,25575.60852485186,25575.60852485186,25872.12894960291,25872.12894960291,2.97640273324014,2.97640273324014,34.43140666666666,34.43140666666666,0,0,7,1.0
