variant_id,cfe_ext,jmas_ext,avg_commute,profile3_avg_commute,mean_freeflow_border_time,mean_dynamic_border_time,overloads,hazards,water,assigned_projects,model,solver_status,objective_value,solver_runtime_sec,network_topology,dynamic_stgnn,cfe_capacity,environmental_constraints,parameter,variation,weight_alpha,weight_beta,weight_gamma,weight_delta_worker_commute,allocation_signature,same_as_baseline,assignment_changes_vs_baseline,selected_plot_set_changes_vs_baseline
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1859373.5315934133,0.5615733999875374,True,True,True,True,alpha,-0.3,0.7,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1861931.092445898,0.46906240002135746,True,True,True,True,alpha,-0.2,0.8,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1864488.6532983838,0.4978912000078708,True,True,True,True,alpha,-0.1,0.9,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1867046.2141508688,0.5254227999830619,True,True,True,True,alpha,0.0,1.0,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1869603.7750033538,0.5763351000205148,True,True,True,True,alpha,0.1,1.1,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1872161.3358558393,0.46810649998951703,True,True,True,True,alpha,0.2,1.2,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1874718.8967083246,0.4176183999807108,True,True,True,True,alpha,0.3,1.3,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1859284.575465988,0.6296588999975938,True,True,True,True,beta,-0.3,1.0,0.7,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1861871.788360948,0.461522600002354,True,True,True,True,beta,-0.2,1.0,0.8,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1864459.0012559087,0.4838226000138093,True,True,True,True,beta,-0.1,1.0,0.9,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
