epoch,train_mse,val_mse
1,2.6612802346547446,1.8154442310333252
2,1.5546629826227825,0.9503952264785767
3,0.7720833222071329,0.392521470785141
4,0.297803262869517,0.1261541247367859
5,0.10829377174377441,0.104444220662117
6,0.12985695401827493,0.19195105135440826
7,0.20464827617009482,0.22741416096687317
8,0.21226125955581665,0.18857862055301666
9,0.16543257733186087,0.1325182318687439
10,0.11792383839686711,0.09800422191619873
11,0.09538712600866954,0.08918194472789764
12,0.09434911608695984,0.09362233430147171
13,0.10121047745148341,0.09891821444034576
14,0.10557004064321518,0.09940759092569351
15,0.1041858121752739,0.09570580720901489
16,0.09914989272753398,0.0912414938211441
17,0.09418955445289612,0.08885364234447479
18,0.09169342120488484,0.08909112960100174
19,0.09167598436276118,0.09057288616895676
20,0.09262056648731232,0.0915631353855133
21,0.09307712564865749,0.09130647778511047
22,0.09264664848645528,0.09019684046506882
23,0.09181980043649673,0.08904456347227097
24,0.09121024856964748,0.08833922445774078
25,0.09101976950963338,0.08806762844324112
26,0.0910551945368449,0.087979257106781
27,0.09104772160450618,0.08789556473493576
28,0.090896042684714,0.08780685067176819
29,0.09067454934120178,0.08777766674757004
30,0.09049672385056813,0.08782264590263367
31,0.09040209154287975,0.08787938207387924
32,0.09035070985555649,0.08787037432193756
33,0.09028791884581248,0.08776861429214478
34,0.09019588679075241,0.0876045823097229
35,0.09009122600158055,0.08742989599704742
36,0.0899935116370519,0.08727914094924927
37,0.08990578601757686,0.08716098964214325
38,0.08981960266828537,0.08707011491060257
39,0.08972907811403275,0.08699966967105865
40,0.08963645746310551,0.08694322407245636
41,0.08954694618781407,0.08689085394144058
42,0.08946254849433899,0.0868312269449234
43,0.08938066413005193,0.0867571085691452
44,0.08929863572120667,0.08666938543319702
45,0.08921529601017635,0.08657412976026535
46,0.08913139005502065,0.08647879213094711
47,0.0890476827820142,0.08638797700405121
48,0.0889642263452212,0.08630406856536865
49,0.08888104061285655,0.08622658997774124
50,0.08879831930001576,0.0861533060669899
51,0.08871644983688991,0.08608116954565048
52,0.08863556136687596,0.08600736409425735
53,0.08855520933866501,0.08593063056468964
54,0.08847516278425853,0.08585118502378464
55,0.0883953149120013,0.08577024936676025
56,0.08831557879845302,0.08568952977657318
57,0.08823609848817189,0.0856102854013443
58,0.08815692116816838,0.08553286641836166
59,0.08807814369599025,0.08545690774917603
60,0.0879997859398524,0.08538183569908142
61,0.08792186031738917,0.0853068009018898
62,0.08784427245457967,0.08523146063089371
63,0.08776698013146718,0.0851556658744812
64,0.08768983681996663,0.08507959544658661
65,0.08761283506949742,0.08500359207391739
66,0.08753594756126404,0.08492802083492279
67,0.08745918422937393,0.08485304564237595
68,0.08738256494204204,0.08477851748466492
69,0.08730605492989223,0.08470424264669418
70,0.08722969889640808,0.08462995290756226
71,0.08715347945690155,0.08455551415681839
72,0.08707737425963084,0.0844808891415596
73,0.08700130879878998,0.08440617471933365
74,0.0869252731402715,0.08433159440755844
75,0.08684931447108586,0.08425720781087875
76,0.08677336325248082,0.08418300747871399
77,0.08669749895731609,0.08410899341106415
78,0.08662166943152745,0.08403503149747849
79,0.08654585977395375,0.08396100997924805
80,0.08646996319293976,0.08388688415288925
81,0.08639402687549591,0.08381253480911255
82,0.08631798376639684,0.08373809605836868
83,0.08624173204104106,0.08366338163614273
84,0.08616527418295543,0.08358844369649887
85,0.08608857293923695,0.08351314812898636
86,0.08601151903470357,0.08343758434057236
87,0.08593405783176422,0.0833616554737091
88,0.0858561893304189,0.08328532427549362
89,0.0857778936624527,0.08320875465869904
90,0.08569930493831635,0.08313219249248505
